date,unemployment_rate,inflation_rate,gdp_growth,twitter_sentiment,google_trends_index,avg_temperature,stock_index_close,mobility_change,covid_cases
1/1/2015,5.1,0.92,2.31,0.013,50.1,13.9,2008.93,0.15,0
2/1/2015,4.98,1.01,2.43,-0.287,50.1,11.9,1999.11,-1.27,0
3/1/2015,5.15,1.04,1.69,-0.106,50,17.2,2003.89,5.67,0
4/1/2015,5.33,1,1.72,-0.044,50.1,11,2006.62,-0.71,0
5/1/2015,4.99,0.79,1.88,0.07,50.1,15.8,1992.18,5.85,0
6/1/2015,5,1.02,1.79,0.08,50.2,15.6,2003.86,-1.43,0
7/1/2015,5.37,1.22,2.08,0.044,50.4,20.7,2013.5,5.74,0
8/1/2015,5.21,0.96,1.43,0.135,50.4,12.7,1990.44,1.52,0
9/1/2015,4.97,0.93,1.69,-0.021,50.6,14.7,2004.51,1.69,0
10/1/2015,5.19,1.04,2.48,0.152,50.8,16.4,1991.72,-1.54,0
11/1/2015,4.99,1.03,1.75,0.149,50.8,16.5,2010.23,1.73,0
12/1/2015,5,1.12,2.4,0.149,50.7,16,2010.13,5.08,0
13/1/2015,5.15,0.87,2.14,0.102,50.6,17.1,1996.47,-0.43,0
14/1/2015,4.73,1.07,1.49,0.313,50.8,14.9,2022.11,-1.02,0
15/1/2015,4.77,1.06,2.23,0.188,50.7,18.3,2011.09,-0.74,0
16/1/2015,5.02,0.99,2,0.051,50.8,13.1,2007.09,4.86,0
17/1/2015,4.93,1.03,1.9,0.182,50.8,17.8,2006.53,2.57,0
18/1/2015,5.21,1.1,2.12,0.241,50.9,16.8,2009.86,4.34,0
19/1/2015,4.97,1.09,2.19,0.115,50.9,20.2,1990.07,0.94,0
20/1/2015,4.88,0.89,2.26,0.291,50.7,21.9,2001.97,0.12,0
21/1/2015,5.46,1.08,2.4,0.229,50.7,17.9,2003.86,1.27,0
22/1/2015,5.13,0.99,2.18,-0.036,50.7,21.5,1996.03,3.21,0
23/1/2015,5.2,1.01,1.64,0.236,50.7,18.2,2004.68,-0.74,0
24/1/2015,4.91,1.01,1.92,0.173,50.7,17.1,2012.35,4.11,0
25/1/2015,5.09,0.99,2.94,0.274,50.8,22.7,1995.82,1.1,0
26/1/2015,5.23,1.12,2.28,0.322,50.8,20.4,1999.49,-7.22,0
27/1/2015,4.99,0.99,2.78,0.254,50.7,19.5,1991.83,2.65,0
28/1/2015,5.3,0.89,2.49,0.407,50.6,21,1982.17,-3.82,0
29/1/2015,5.11,0.96,2.14,0.228,50.8,20.3,2007.83,2.58,0
30/1/2015,5.18,1.02,2.16,0.315,50.9,19.8,1999.78,2.7,0
31/1/2015,5.13,1.12,2.07,0.338,50.7,17.4,2000.52,0.99,0
1/2/2015,5.62,1.06,1.56,0.253,50.6,19.7,1990.17,1.63,0
2/2/2015,5.26,0.92,2.09,0.345,50.6,21.6,1998.19,3.3,0
3/2/2015,5.06,1.25,2.45,0.213,50.8,20.3,2011.01,-1.49,0
4/2/2015,5.44,1.03,1.91,0.234,50.9,22.5,2000.05,2.38,0
5/2/2015,5.04,1.13,2.21,0.149,50.8,21.6,2000.34,3.49,0
6/2/2015,5.33,0.99,2.35,0.308,51,19.2,2002.12,5.28,0
7/2/2015,4.91,1.05,1.82,0.319,51,18.4,1987.69,-3.32,0
8/2/2015,5.04,1.08,1.96,0.408,51.2,20.9,2006.3,1.23,0
9/2/2015,5.35,1.12,1.79,0.371,51.1,20.3,1987.5,-2.88,0
10/2/2015,5.47,1.11,1.85,0.266,50.8,22.2,1990.66,-3.01,0
11/2/2015,5.36,1.09,1.72,0.178,50.7,20.2,1989.56,1.08,0
12/2/2015,5.31,0.97,1.84,0.341,50.3,20.5,1998.31,0.23,0
13/2/2015,5.28,0.94,2.53,0.41,50.6,24,1996.53,3.44,0
14/2/2015,5.05,1.03,1.84,0.375,50.6,22.3,2000.05,-1.04,0
15/2/2015,5.21,1.09,2.15,0.408,50.5,20.7,1991.01,-0.4,0
16/2/2015,5.26,0.98,1.96,0.279,50.5,22.3,2010.12,0.63,0
17/2/2015,5.57,1.11,2.47,0.253,50.6,25.1,2008.4,-2.59,0
18/2/2015,5.44,1.15,2.51,0.225,50.6,23.1,1998.33,-2.17,0
19/2/2015,5.02,0.91,2.38,0.292,50.7,23.8,1995.28,3.35,0
20/2/2015,5.44,0.92,2.22,0.289,50.7,21.2,1994.27,-1.65,0
21/2/2015,5.31,0.99,2.06,0.316,50.6,24.9,1996.97,3.55,0
22/2/2015,5.25,1.03,1.77,0.28,50.7,27.5,1986.07,1.82,0
23/2/2015,5.52,0.95,2.72,0.277,50.8,21.4,1990.48,-4.64,0
24/2/2015,5.61,1.14,1.91,0.21,50.8,20.8,2008.68,1.59,0
25/2/2015,5.59,1.04,2.34,0.379,51,23.6,2003.09,1.57,0
26/2/2015,5.24,1.01,2.46,0.289,51,25.1,2016.42,1.27,0
27/2/2015,5.35,0.86,1.97,0.26,50.9,23.2,1997.09,-0.43,0
28/2/2015,5.49,0.87,2.45,0.199,50.9,21.4,1996.46,-2.82,0
1/3/2015,5.62,1.03,2.38,0.136,50.9,23.4,1996,4.04,0
2/3/2015,5.33,0.79,2.67,0.395,50.9,24.9,1996.89,-0.3,0
3/3/2015,5.4,1.1,2.01,0.315,50.8,22.9,1993.48,-2.65,0
4/3/2015,5.22,0.99,1.77,0.091,50.8,25.1,2002.79,1.37,0
5/3/2015,5.2,1.33,2,0.324,51,26.2,2000.38,-2.23,0
6/3/2015,5.61,1.23,2.22,0.334,50.9,24.5,1994.99,-2.85,0
7/3/2015,5.72,0.98,2.18,0.248,50.8,24,2012.6,-1.13,0
8/3/2015,5.44,0.99,2.04,0.389,51,25.8,2019.06,-2,0
9/3/2015,5.66,1.1,1.59,0.244,50.9,22.5,2011.76,-2.74,0
10/3/2015,5.53,1.17,2.31,0.074,50.8,22.4,2005.67,2.42,0
11/3/2015,5.33,0.84,2.76,0.245,50.8,23.8,2007.71,-0.34,0
12/3/2015,5.54,0.82,2.31,0.225,50.9,23.4,2018.66,3.76,0
13/3/2015,5.78,0.94,2.35,0.133,51.1,22.8,2007.7,-2.56,0
14/3/2015,5.47,1.06,2.35,0.242,51,28.2,1994.25,-5.18,0
15/3/2015,5.79,1.05,2.3,0.01,51,28.9,2004.02,0.45,0
16/3/2015,4.95,1.11,2.46,0.267,51,23.9,2006.36,5.57,0
17/3/2015,5.64,0.88,2.3,0.072,50.9,24.8,1990.16,1.59,0
18/3/2015,5.5,0.77,2.09,0.052,51.1,24.3,1997.25,9.65,0
19/3/2015,5.43,1.09,1.95,0.13,51,27,2011.11,1,0
20/3/2015,5.51,0.92,2.11,0.176,51,27.4,1981.87,0.71,0
21/3/2015,5.09,0.8,2.28,0.14,51,21.3,1987.6,-6.47,0
22/3/2015,5.45,1.02,2.1,0.039,50.9,25.8,1998.35,1.28,0
23/3/2015,5.56,1.08,2.29,0.054,51,22.3,2003.65,0.51,0
24/3/2015,5.79,0.99,2.33,-0.019,51.1,28.4,1986.54,-1.22,0
25/3/2015,5.39,0.96,2.45,0.062,50.9,25.8,1998.85,-0.41,0
26/3/2015,5.33,0.99,2.58,0.182,50.9,23.3,2011.65,-0.2,0
27/3/2015,5.4,0.97,2.22,0.064,50.8,24.5,2000.8,-0.54,0
28/3/2015,5.68,0.87,1.81,0.14,51,24.4,2009.51,6.27,0
29/3/2015,5.56,0.93,2.1,0.19,50.8,26,1994.2,-1.11,0
30/3/2015,5.39,1.05,2.22,-0.025,50.8,27.1,1992.02,0.51,0
31/3/2015,5.6,1.03,1.66,0.005,50.8,22.7,2008.61,-1.21,0
